OACI      ;DESCRIPCION                                                 ;CANT MOVIMIENTOS    
SABE      ;BUENOS AIRES/AEROPARQUE J. NEWBERY                          ;517570              
SAEZ      ;EZEIZA/MINISTRO PISTARINI                                   ;279469              
SADF      ;SAN FERNANDO                                                ;163467              
SACO      ;CÓRDOBA/ING. AER. A. L. V. TARAVELLA                       ;97638               
SAME      ;MENDOZA/EL PLUMERILLO                                       ;65345               
SASA      ;SALTA/GENERAL D. MARTÍN MIGUEL DE GÜEMES                  ;54887               
SAZN      ;NEUQUÉN/PRESIDENTE PERÓN                                  ;45272               
SAZS      ;SAN CARLOS DE BARILOCHE                                     ;42233               
SAAR      ;ROSARIO/ISLAS MALVINAS                                      ;41047               
SARI      ;CATARATAS DEL  IGUAZÚ/MY. D. CARLOS EDUARDO KRAUSE         ;35500               
SAVC      ;COMODORO RIVADAVIA/GRAL. E. MOSCONI                         ;35351               
SADM      ;MORÓN                                                      ;30254               
SANT      ;TUCUMÁN/TENIENTE BENJAMIN MATIENZO                         ;29100               
SAWH      ;USHUAIA/MALVINAS ARGENTINAS                                 ;27535               
SAWC      ;EL CALAFATE                                                 ;26063               
SAZM      ;MAR DEL PLATA/ASTOR PIAZZOLLA                               ;22181               
SAVT      ;TRELEW/ALMIRANTE ZAR                                        ;22070               
SAZB      ;BAHÍA BLANCA/COMANDANTE ESPORA                             ;20227               
SAWG      ;RÍO GALLEGOS/PILOTO CIVIL NORBERTO FERNANDEZ               ;20049               
SARE      ;RESISTENCIA                                                 ;16919               
SASJ      ;JUJUY/GOBERNADOR GUZMÁN                                    ;13710               
SANU      ;SAN JUAN/DOMINGO FAUSTINO SARMIENTO                         ;13523               
SARP      ;POSADAS/LIBERTADOR GRAL. D. JOSÉ DE SAN MARTÍN            ;12762               
SAWE      ;RÍO GRANDE                                                 ;10218               
SAZR      ;SANTA ROSA                                                  ;10103               
SAAP      ;PARANÁ/GRAL. URQUIZA                                       ;8277                
SAMR      ;SAN RAFAEL/S.A. SANTIAGO GERMANO                            ;8229                
SARF      ;FORMOSA                                                     ;8136                
SAZY      ;SAN MARTÍN DE LOS ANDES/AVIADOR C. CAMPOS                  ;7810                
SAOU      ;SAN LUIS/BRIG. MAYOR D. CÉSAR RAUL OJEDA                   ;7768                
SAAV      ;SANTA FÉ/SAUCE VIEJO                                       ;7562                
SARC      ;CORRIENTES                                                  ;6600                
SANE      ;SANTIAGO DEL ESTERO/VCOM. ANGEL DE LA PAZ ARAGONÉS         ;6308                
SAVV      ;VIEDMA/GOBERNADOR CASTELLO                                  ;5376                
SAVE      ;ESQUEL/BRIGADIER GENERAL ANTONIO PARODI                     ;5354                
SAVY      ;PUERTO MADRYN/EL TEHUELCHE                                  ;4949                
SANL      ;LA RIOJA/CAP. VICENTE A. ALMONACID                          ;4897                
SAOC      ;RÍO CUARTO/ÁREA DE MATERIAL                               ;4549                
SANC      ;CATAMARCA                                                   ;4316                
SADL      ;LA PLATA                                                    ;4099                
SATR      ;RECONQUISTA                                                 ;3231                
SAAG      ;GUALEGUAYCHÚ                                               ;3059                
SAAC      ;CONCORDIA/COMODORO PIERRESTEGUI                             ;2929                
SAZG      ;GENERAL PICO                                                ;2732                
SAZT      ;TANDIL/HÉROES DE MALVINAS                                  ;2491                
SAMM      ;MALARGÜE/COMODORO D. RICARDO SALOMÓN                      ;2223                
SAOR      ;VILLA REYNOLDS                                              ;727                 
SADP      ;EL PALOMAR                                                  ;713                 
SATG      ;GOYA                                                        ;615                 
SAZF      ;OLAVARRÍA                                                  ;534                 
SAZV      ;VILLA GESELL                                                ;404                 
SAZL      ;SANTA TERESITA                                              ;129                 
SACD      ;CORONEL OLMEDO                                              ;46                  
SAAJ      ;JUNÍN                                                      ;28                  
SAWD      ;PUERTO DESEADO                                              ;23                  
SAWS      ;JOSÉ DE SAN MARTÍN                                        ;22                  
SAVN      ;SAN ANTONIO OESTE/ANTOINE DE SAINT EXUPERY                  ;20                  
SAWT      ;EL TURBIO/28 DE NOVIEMBRE                                   ;16                  
SAZW      ;CUTRAL-CO                                                   ;9                   
SAVB      ;EL BOLSÓN                                                  ;7                   
SAVD      ;EL MAITÉN                                                  ;7                   
SAHS      ;RINCÓN DE LOS SAUCES                                       ;2                   
SAVJ      ;INGENIERO JACOBACCI/CABO F.A.A. H. R. BORDÓN               ;2                   
SAVR      ;ALTO RÍO SENGUERR/D. C. SZLAPELIS                          ;2                   
SAZD      ;DOLORES                                                     ;2                   
SADQ      ;QUILMES                                                     ;1                   
SAWP      ;PERITO MORENO                                               ;1                   
SAZI      ;BOLIVAR                                                     ;1                   
          ;COLONIA CATRIEL                                             ;0                   
SAAA      ;SAN ANTONIO DE ARECO                                        ;0                   
SAAN      ;PERGAMINO                                                   ;0                   
SAAU      ;VILLAGUAY                                                   ;0                   
SACA      ;CÓRDOBA/CAPITÁN D. OMAR DARIO GELARDI                     ;0                   
SACC      ;LA CUMBRE                                                   ;0                   
SACT      ;GOBERNADOR GORDILLO/CHAMICAL                                ;0                   
SADJ      ;MARIANO MORENO                                              ;0                   
SADO      ;CAMPO DE MAYO                                               ;0                   
SADR      ;MERLO                                                       ;0                   
SADZ      ;MATANZA                                                     ;0                   
SAEM      ;MIRAMAR                                                     ;0                   
SAFR      ;RAFAELA                                                     ;0                   
SAHC      ;CHOS MALAL                                                  ;0                   
SAHR      ;GENERAL ROCA/DR. ARTURO HUMBERTO ILLIA                      ;0                   
SAHZ      ;ZAPALA                                                      ;0                   
SAMA      ;GENERAL ALVEAR                                              ;0                   
SAMI      ;SAN MARTÍN                                                 ;0                   
SANI      ;TINOGASTA                                                   ;0                   
SANO      ;CHILECITO/BRIG. MY. JUAN FACUNDO QUIROGA                    ;0                   
SANR      ;TERMAS DE RÍO HONDO                                        ;0                   
SANW      ;CERES                                                       ;0                   
SAOD      ;VILLA DOLORES                                               ;0                   
SAOL      ;LABOULAYE                                                   ;0                   
SAOM      ;MARCOS JUAREZ                                               ;0                   
SAOS      ;SANTA ROSA DE CONLARA/VALLE DEL CONLARA                     ;0                   
SAOV      ;VILLA MARIA/AEROPUERTO REGIONAL                             ;0                   
SARL      ;PASO DE LOS LIBRES                                          ;0                   
SARM      ;MONTE CASEROS                                               ;0                   
SARS      ;PRESIDENCIA ROQUE SAENZ PEÑA/TERMAL                        ;0                   
SASO      ;ORÁN                                                       ;0                   
SASQ      ;LA QUIACA/DR. GUILLERMO EUGENIO SNOPEK                      ;0                   
SAST      ;TARTAGAL/GENERAL ENRIQUE MOSCONI                            ;0                   
SATD      ;ELDORADO                                                    ;0                   
SATI      ;BERNARDO DE IRIGOYEN                                        ;0                   
SATO      ;OBERÁ                                                      ;0                   
SATU      ;CURUZÚ CUATIÁ                                             ;0                   
SAVA      ;PIEDRA DEL ÁGUILA                                          ;0                   
SAVH      ;LAS HERAS                                                   ;0                   
SAVM      ;SARMIENTO/LAGO MUSTERS                                      ;0                   
SAVQ      ;MAQUINCHAO                                                  ;0                   
SAVS      ;SIERRA GRANDE                                               ;0                   
SAWB      ;VICECOMODORO MARAMBIO                                       ;0                   
SAWJ      ;SAN JULIÁN/CAPITÁN D. DANIEL VAZQUEZ                      ;0                   
SAWM      ;RÍO MAYO                                                   ;0                   
SAWO      ;USHUAIA/EST. AERONAVAL                                      ;0                   
SAWR      ;GOBERNADOR GREGORES                                         ;0                   
SAWU      ;SANTA CRUZ                                                  ;0                   
SAZA      ;AZUL                                                        ;0                   
SAZC      ;CORONEL SUÁREZ/BRIG. D. H. E.  RUIZ                        ;0                   
SAZE      ;PIGÜÉ                                                     ;0                   
SAZH      ;TRES ARROYOS                                                ;0                   
SAZJ      ;JUÁREZ                                                     ;0                   
SAZO      ;NECOCHEA                                                    ;0                   
SAZP      ;PEHUAJÓ/COM. PEDRO ZANNI                                   ;0                   
SAZQ      ;RÍO COLORADO                                               ;0                   
SAZX      ;NUEVE DE JULIO                                              ;0                   
